Offset-Description                                                                   
0000 - String            20C3A040 : DCH_EVO1           20BFCC40 : FIA_COU            
1264 - Float             20C3B2A4 : 70000              20BFDEA4 : 70000              
1268 - Float             20C3B2A8 : 10000              20BFDEA8 : 10000              
126C - Pointer           20C3B2AC : P->3DCCCCCD        20BFDEAC : P->3DCCCCCD        
1270 - 4 Bytes           20C3B2B0 : 0                  20BFDEB0 : 0                  
1274 - 4 Bytes           20C3B2B4 : 0                  20BFDEB4 : 0                  
1278 - Pointer           20C3B2B8 : P->3EA1A36F        20BFDEB8 : P->3E9BE0DF        
127C - Pointer           20C3B2BC : P->3E666666        20BFDEBC : P->3E666666        
1280 - Float             20C3B2C0 : 26.5               20BFDEC0 : 25.5               
1284 - Float             20C3B2C4 : 1                  20BFDEC4 : 1                  
1288 - Double            20C3B2C8 : 0.0166318750882056 20BFDEC8 : 0.0154131296527339 
1290 - Double            20C3B2D0 : 0.0250000096605234 20BFDED0 : 0.0250000096601903 
1298 - Float             20C3B2D8 : 6012               20BFDED8 : 5510               
129C - Float             20C3B2DC : 16                 20BFDEDC : 16                 
12A0 - Float             20C3B2E0 : 0.5                20BFDEE0 : 0.4499999881       
12A4 - Float             20C3B2E4 : 7.5                20BFDEE4 : 7.5                
12A8 - String            20C3B2E8 : DCH_EVO1           20BFDEE8 : FIA_COU            
12B1 - Byte              20C3B2F1 : 211                20BFDEF1 : 211                
12B2 - 2 Bytes           20C3B2F2 : 18370              20BFDEF2 : 18370              
12B4 - Float             20C3B2F4 : 10000              20BFDEF4 : 10000              
12B8 - Pointer           20C3B2F8 : P->3DCCCCCD        20BFDEF8 : P->3DCCCCCD        
12BC - 4 Bytes           20C3B2FC : 0                  20BFDEFC : 0                  
12C0 - Float             20C3B300 : 70000              20BFDF00 : 70000              
12C4 - Float             20C3B304 : 10000              20BFDF04 : 10000              
12C8 - Pointer           20C3B308 : P->3DCCCCCD        20BFDF08 : P->3DCCCCCD        
12CC - 4 Bytes           20C3B30C : 0                  20BFDF0C : 0                  
12D0 - 4 Bytes           20C3B310 : 0                  20BFDF10 : 0                  
12D4 - Pointer           20C3B314 : P->3EA1A36F        20BFDF14 : P->3E9BE0DF        
12D8 - Pointer           20C3B318 : P->3E666666        20BFDF18 : P->3E666666        
12DC - Float             20C3B31C : 26.5               20BFDF1C : 25.5               
12E0 - Float             20C3B320 : 1                  20BFDF20 : 1                  
12E4 - Double            20C3B324 : 0.0205300039553549 20BFDF24 : 0.0190600044035818 
12EC - Double            20C3B32C : 0.025000009661431  20BFDF2C : 0.0250000096610887 
12F4 - Float             20C3B334 : 6012               20BFDF34 : 5510               
12F8 - Float             20C3B338 : 16                 20BFDF38 : 16                 
12FC - Float             20C3B33C : 0.5                20BFDF3C : 0.4499999881       
1300 - Float             20C3B340 : 7.5                20BFDF40 : 7.5                
1304 - String            20C3B344 : DCH_EVO1           20BFDF44 : FIA_COU            
130D - Byte              20C3B34D : 211                20BFDF4D : 211                
130E - 2 Bytes           20C3B34E : 18370              20BFDF4E : 18370              
1310 - Float             20C3B350 : 10000              20BFDF50 : 10000              
1314 - Pointer           20C3B354 : P->3DCCCCCD        20BFDF54 : P->3DCCCCCD        
1318 - 4 Bytes           20C3B358 : 0                  20BFDF58 : 0                  
131C - Float             20C3B35C : 70000              20BFDF5C : 70000              
1320 - Float             20C3B360 : 10000              20BFDF60 : 10000              
1324 - Pointer           20C3B364 : P->3DCCCCCD        20BFDF64 : P->3DCCCCCD        
1328 - 4 Bytes           20C3B368 : 0                  20BFDF68 : 0                  
132C - 4 Bytes           20C3B36C : 0                  20BFDF6C : 0                  
1330 - Pointer           20C3B370 : P->3EA1A36F        20BFDF70 : P->3E9BE0DF        
1334 - Pointer           20C3B374 : P->3E666666        20BFDF74 : P->3E666666        
1338 - Float             20C3B378 : 26.5               20BFDF78 : 25.5               
133C - Float             20C3B37C : 1                  20BFDF7C : 1                  
1340 - Double            20C3B380 : 0.0244281328225043 20BFDF80 : 0.0229187495016959 
1348 - Double            20C3B388 : 0.0250000096623386 20BFDF88 : 0.0250000096619871 
1350 - Float             20C3B390 : 6012               20BFDF90 : 5510               
1354 - Float             20C3B394 : 16                 20BFDF94 : 16                 
1358 - Float             20C3B398 : 0.5                20BFDF98 : 0.4499999881       
135C - Float             20C3B39C : 7.5                20BFDF9C : 7.5                
1360 - String            20C3B3A0 : DCH_EVO1           20BFDFA0 : FIA_COU            
1369 - Byte              20C3B3A9 : 211                20BFDFA9 : 211                
136A - 2 Bytes           20C3B3AA : 18370              20BFDFAA : 18370              
136C - Float             20C3B3AC : 10000              20BFDFAC : 10000              
1370 - Pointer           20C3B3B0 : P->3DCCCCCD        20BFDFB0 : P->3DCCCCCD        
1374 - 4 Bytes           20C3B3B4 : 0                  20BFDFB4 : 0                  
1378 - Float             20C3B3B8 : 70000              20BFDFB8 : 70000              
137C - Float             20C3B3BC : 10000              20BFDFBC : 10000              
1380 - Pointer           20C3B3C0 : P->3DCCCCCD        20BFDFC0 : P->3DCCCCCD        
1384 - 4 Bytes           20C3B3C4 : 0                  20BFDFC4 : 0                  
1388 - 4 Bytes           20C3B3C8 : 0                  20BFDFC8 : 0                  
138C - Pointer           20C3B3CC : P->3EA1A36F        20BFDFCC : P->3E9BE0DF        
1390 - Pointer           20C3B3D0 : P->3E666666        20BFDFD0 : P->3E666666        
1394 - Float             20C3B3D4 : 25                 20BFDFD4 : 24                 
1398 - Float             20C3B3D8 : 1                  20BFDFD8 : 1                  
139C - Double            20C3B3DC : 0.0102812516939593 20BFDFDC : 0.0096250045549823 
13A4 - Double            20C3B3E4 : 0.0250000096578005 20BFDFE4 : 0.025000009657495  
13AC - Float             20C3B3EC : 6012               20BFDFEC : 5510               
13B0 - Float             20C3B3F0 : 16                 20BFDFF0 : 16                 
13B4 - Float             20C3B3F4 : 0.5                20BFDFF4 : 0.4499999881       
13B8 - Float             20C3B3F8 : 7.5                20BFDFF8 : 7.5                
13BC - String            20C3B3FC : DCH_EVO1           20BFDFFC : FIA_COU            
13C5 - Byte              20C3B405 : 211                20BFE005 : 211                
13C6 - 2 Bytes           20C3B406 : 18370              20BFE006 : 18370              
13C8 - Float             20C3B408 : 10000              20BFE008 : 10000              
13CC - Pointer           20C3B40C : P->3DCCCCCD        20BFE00C : P->3DCCCCCD        
13D0 - 4 Bytes           20C3B410 : 0                  20BFE010 : 0                  
13D4 - Float             20C3B414 : 70000              20BFE014 : 70000              
13D8 - Float             20C3B418 : 10000              20BFE018 : 10000              
13DC - Pointer           20C3B41C : P->3DCCCCCD        20BFE01C : P->3DCCCCCD        
13E0 - 4 Bytes           20C3B420 : 0                  20BFE020 : 0                  
13E4 - 4 Bytes           20C3B424 : 0                  20BFE024 : 0                  
13E8 - Pointer           20C3B428 : P->3EA1A36F        20BFE028 : P->3E9BE0DF        
13EC - Pointer           20C3B42C : P->3E666666        20BFE02C : P->3E666666        
13F0 - Float             20C3B430 : 25                 20BFE030 : 24                 
13F4 - Float             20C3B434 : 1                  20BFE034 : 1                  
13F8 - Double            20C3B438 : 0.012230316127534  20BFE038 : 0.0115543771040393 
1400 - Double            20C3B440 : 0.0250000096587082 20BFE040 : 0.0250000096583934 
1408 - Float             20C3B448 : 6012               20BFE048 : 5510               
140C - Float             20C3B44C : 16                 20BFE04C : 16                 
1410 - Float             20C3B450 : 0.5                20BFE050 : 0.4499999881       
1414 - Float             20C3B454 : 7.5                20BFE054 : 7.5                
1418 - String            20C3B458 : DCH_EVO1           20BFE058 : FIA_COU            
1421 - Byte              20C3B461 : 211                20BFE061 : 211                
1422 - 2 Bytes           20C3B462 : 18370              20BFE062 : 18370              
1424 - Float             20C3B464 : 10000              20BFE064 : 10000              
1428 - Pointer           20C3B468 : P->3DCCCCCD        20BFE068 : P->3DCCCCCD        
142C - 4 Bytes           20C3B46C : 0                  20BFE06C : 0                  
1430 - Float             20C3B470 : 70000              20BFE070 : 70000              
1434 - Float             20C3B474 : 10000              20BFE074 : 10000              
1438 - Pointer           20C3B478 : P->3DCCCCCD        20BFE078 : P->3DCCCCCD        
143C - 4 Bytes           20C3B47C : 0                  20BFE07C : 0                  
1440 - 4 Bytes           20C3B480 : 0                  20BFE080 : 0                  
1444 - Pointer           20C3B484 : P->3EA1A36F        20BFE084 : P->3E9BE0DF        
1448 - Pointer           20C3B488 : P->3E666666        20BFE088 : P->3E666666        
144C - Float             20C3B48C : 25                 20BFE08C : 24                 
1450 - Float             20C3B490 : 1                  20BFE090 : 1                  
1454 - Double            20C3B494 : 0.0141793731105281 20BFE094 : 0.0134837496530963 
145C - Double            20C3B49C : 0.0250000096596158 20BFE09C : 0.0250000096592918 
1464 - Float             20C3B4A4 : 6012               20BFE0A4 : 5510               
1468 - Float             20C3B4A8 : 16                 20BFE0A8 : 16                 
146C - Float             20C3B4AC : 0.5                20BFE0AC : 0.4499999881       
1470 - Float             20C3B4B0 : 7.5                20BFE0B0 : 7.5                
1474 - String            20C3B4B4 : DCH_EVO1           20BFE0B4 : FIA_COU            
147D - Byte              20C3B4BD : 211                20BFE0BD : 211                
147E - 2 Bytes           20C3B4BE : 18370              20BFE0BE : 18370              
1480 - Float             20C3B4C0 : 10000              20BFE0C0 : 10000              
1484 - Pointer           20C3B4C4 : P->3DCCCCCD        20BFE0C4 : P->3DCCCCCD        
1488 - 4 Bytes           20C3B4C8 : 0                  20BFE0C8 : 0                  
148C - Float             20C3B4CC : 70000              20BFE0CC : 70000              
1490 - Float             20C3B4D0 : 10000              20BFE0D0 : 10000              
1494 - Pointer           20C3B4D4 : P->3DCCCCCD        20BFE0D4 : P->3DCCCCCD        
1498 - 4 Bytes           20C3B4D8 : 0                  20BFE0D8 : 0                  
149C - 4 Bytes           20C3B4DC : 0                  20BFE0DC : 0                  
14A0 - Pointer           20C3B4E0 : P->3EA1A36F        20BFE0E0 : P->3E9BE0DF        
14A4 - Pointer           20C3B4E4 : P->3E666666        20BFE0E4 : P->3E666666        
14A8 - Float             20C3B4E8 : 25                 20BFE0E8 : 24                 
14AC - Float             20C3B4EC : 1                  20BFE0EC : 1                  
14B0 - Double            20C3B4F0 : 0.0166318750882056 20BFE0F0 : 0.0154131296527339 
14B8 - Double            20C3B4F8 : 0.0250000096605234 20BFE0F8 : 0.0250000096601903 
14C0 - Float             20C3B500 : 6012               20BFE100 : 5510               
14C4 - Float             20C3B504 : 16                 20BFE104 : 16                 
14C8 - Float             20C3B508 : 0.5                20BFE108 : 0.4499999881       
14CC - Float             20C3B50C : 7.5                20BFE10C : 7.5                
14D0 - String            20C3B510 : DCH_EVO1           20BFE110 : FIA_COU            
14D9 - Byte              20C3B519 : 211                20BFE119 : 211                
14DA - 2 Bytes           20C3B51A : 18370              20BFE11A : 18370              
14DC - Float             20C3B51C : 10000              20BFE11C : 10000              
14E0 - Pointer           20C3B520 : P->3DCCCCCD        20BFE120 : P->3DCCCCCD        
14E4 - 4 Bytes           20C3B524 : 0                  20BFE124 : 0                  
14E8 - Float             20C3B528 : 70000              20BFE128 : 70000              
14EC - Float             20C3B52C : 10000              20BFE12C : 10000              
14F0 - Pointer           20C3B530 : P->3DCCCCCD        20BFE130 : P->3DCCCCCD        
14F4 - 4 Bytes           20C3B534 : 0                  20BFE134 : 0                  
14F8 - 4 Bytes           20C3B538 : 0                  20BFE138 : 0                  
14FC - Pointer           20C3B53C : P->3EA1A36F        20BFE13C : P->3E9BE0DF        
1500 - Pointer           20C3B540 : P->3E666666        20BFE140 : P->3E666666        
1504 - Float             20C3B544 : 25                 20BFE144 : 24                 
1508 - Float             20C3B548 : 1                  20BFE148 : 1                  
150C - Double            20C3B54C : 0.0205300039553549 20BFE14C : 0.0190600044035818 
1514 - Double            20C3B554 : 0.025000009661431  20BFE154 : 0.0250000096610887 
151C - Float             20C3B55C : 6012               20BFE15C : 5510               
1520 - Float             20C3B560 : 16                 20BFE160 : 16                 
1524 - Float             20C3B564 : 0.5                20BFE164 : 0.4499999881       
1528 - Float             20C3B568 : 7.5                20BFE168 : 7.5                
152C - String            20C3B56C : DCH_EVO1           20BFE16C : FIA_COU            
1535 - Byte              20C3B575 : 211                20BFE175 : 211                
1536 - 2 Bytes           20C3B576 : 18370              20BFE176 : 18370              
1538 - Float             20C3B578 : 10000              20BFE178 : 10000              
153C - Pointer           20C3B57C : P->3DCCCCCD        20BFE17C : P->3DCCCCCD        
1540 - 4 Bytes           20C3B580 : 0                  20BFE180 : 0                  
1544 - Float             20C3B584 : 70000              20BFE184 : 70000              
1548 - Float             20C3B588 : 10000              20BFE188 : 10000              
154C - Pointer           20C3B58C : P->3DCCCCCD        20BFE18C : P->3DCCCCCD        
1550 - 4 Bytes           20C3B590 : 0                  20BFE190 : 0                  
1554 - 4 Bytes           20C3B594 : 0                  20BFE194 : 0                  
1558 - Pointer           20C3B598 : P->3EA1A36F        20BFE198 : P->3E9BE0DF        
155C - Pointer           20C3B59C : P->3E666666        20BFE19C : P->3E666666        
1560 - Float             20C3B5A0 : 25                 20BFE1A0 : 24                 
1564 - Float             20C3B5A4 : 1                  20BFE1A4 : 1                  
1568 - Double            20C3B5A8 : 0.0244281328225043 20BFE1A8 : 0.0229187495016959 
1570 - Double            20C3B5B0 : 0.0250000096623386 20BFE1B0 : 0.0250000096619871 
1578 - Float             20C3B5B8 : 6012               20BFE1B8 : 5510               
157C - Float             20C3B5BC : 16                 20BFE1BC : 16                 
1580 - Float             20C3B5C0 : 0.5                20BFE1C0 : 0.4499999881       
1584 - Float             20C3B5C4 : 7.5                20BFE1C4 : 7.5                
1588 - String            20C3B5C8 : DCH_EVO1           20BFE1C8 : FIA_COU            
1591 - Byte              20C3B5D1 : 211                20BFE1D1 : 211                
1592 - 2 Bytes           20C3B5D2 : 18370              20BFE1D2 : 18370              
1594 - Float             20C3B5D4 : 10000              20BFE1D4 : 10000              
1598 - Pointer           20C3B5D8 : P->3DCCCCCD        20BFE1D8 : P->3DCCCCCD        
159C - 4 Bytes           20C3B5DC : 0                  20BFE1DC : 0                  
15A0 - Float             20C3B5E0 : 70000              20BFE1E0 : 70000              
15A4 - Float             20C3B5E4 : 10000              20BFE1E4 : 10000              
15A8 - Pointer           20C3B5E8 : P->3DCCCCCD        20BFE1E8 : P->3DCCCCCD        
15AC - 4 Bytes           20C3B5EC : 0                  20BFE1EC : 0                  
15B0 - 4 Bytes           20C3B5F0 : 0                  20BFE1F0 : 0                  
15B4 - Pointer           20C3B5F4 : P->3EA1A36F        20BFE1F4 : P->3E9BE0DF        
15B8 - Pointer           20C3B5F8 : P->3E666666        20BFE1F8 : P->3E666666        
15BC - Float             20C3B5FC : 25                 20BFE1FC : 24                 
15C0 - Float             20C3B600 : 1                  20BFE200 : 1                  
15C4 - Double            20C3B604 : 0.0179312563443091 20BFE204 : 0.0164874977373984 
15CC - Double            20C3B60C : 0.0250000096608259 20BFE20C : 0.0250000096604897 
15D4 - Float             20C3B614 : 6012               20BFE214 : 5510               
15D8 - Float             20C3B618 : 16                 20BFE218 : 16                 
15DC - Float             20C3B61C : 0.5                20BFE21C : 0.4499999881       
15E0 - Float             20C3B620 : 7.5                20BFE220 : 7.5                
15E4 - String            20C3B624 : DCH_EVO1           20BFE224 : FIA_COU            
15ED - Byte              20C3B62D : 211                20BFE22D : 211                
15EE - 2 Bytes           20C3B62E : 18370              20BFE22E : 18370              
15F0 - Float             20C3B630 : 10000              20BFE230 : 10000              
15F4 - Pointer           20C3B634 : P->3DCCCCCD        20BFE234 : P->3DCCCCCD        
15F8 - 4 Bytes           20C3B638 : 0                  20BFE238 : 0                  
15FC - Float             20C3B63C : 70000              20BFE23C : 70000              
1600 - Float             20C3B640 : 10000              20BFE240 : 10000              
1604 - Pointer           20C3B644 : P->3DCCCCCD        20BFE244 : P->3DCCCCCD        
1608 - 4 Bytes           20C3B648 : 0                  20BFE248 : 0                  
160C - 4 Bytes           20C3B64C : 0                  20BFE24C : 0                  
1610 - Pointer           20C3B650 : P->3EA1A36F        20BFE250 : P->3E9BE0DF        
1614 - Pointer           20C3B654 : P->3E666666        20BFE254 : P->3E666666        
1618 - Float             20C3B658 : 25                 20BFE258 : 24                 
161C - Float             20C3B65C : 1                  20BFE25C : 1                  
1620 - Double            20C3B660 : 0.0244281328225043 20BFE260 : 0.0229187495016959 
1628 - Double            20C3B668 : 0.0250000096623386 20BFE268 : 0.0250000096619871 
1630 - Float             20C3B670 : 6012               20BFE270 : 5510               
1634 - Float             20C3B674 : 16                 20BFE274 : 16                 
1638 - Float             20C3B678 : 0.5                20BFE278 : 0.4499999881       
163C - Float             20C3B67C : 7.5                20BFE27C : 7.5                
1640 - String            20C3B680 : DCH_EVO1           20BFE280 : FIA_COU            
1649 - Byte              20C3B689 : 211                20BFE289 : 211                
164A - 2 Bytes           20C3B68A : 18370              20BFE28A : 18370              
164C - Float             20C3B68C : 10000              20BFE28C : 10000              
1650 - Pointer           20C3B690 : P->3DCCCCCD        20BFE290 : P->3DCCCCCD        
1654 - 4 Bytes           20C3B694 : 0                  20BFE294 : 0                  
1658 - Float             20C3B698 : 70000              20BFE298 : 70000              
165C - Float             20C3B69C : 10000              20BFE29C : 10000              
1660 - Pointer           20C3B6A0 : P->3DCCCCCD        20BFE2A0 : P->3DCCCCCD        
1664 - 4 Bytes           20C3B6A4 : 0                  20BFE2A4 : 0                  
1668 - 4 Bytes           20C3B6A8 : 0                  20BFE2A8 : 0                  
166C - Pointer           20C3B6AC : P->3EA1A36F        20BFE2AC : P->3E9BE0DF        
1670 - Pointer           20C3B6B0 : P->3E666666        20BFE2B0 : P->3E666666        
1674 - Float             20C3B6B4 : 25                 20BFE2B4 : 24                 
1678 - Float             20C3B6B8 : 1                  20BFE2B8 : 1                  
167C - Double            20C3B6BC : 0.0309250093006995 20BFE2BC : 0.0293500012659933 
1684 - Double            20C3B6C4 : 0.0250000096638512 20BFE2C4 : 0.0250000096634845 
168C - Float             20C3B6CC : 6012               20BFE2CC : 5510               
1690 - Float             20C3B6D0 : 16                 20BFE2D0 : 16                 
1694 - Float             20C3B6D4 : 0.5                20BFE2D4 : 0.4499999881       
1698 - Float             20C3B6D8 : 7.5                20BFE2D8 : 7.5                
169C - String            20C3B6DC : DCH_EVO1           20BFE2DC : FIA_COU            
16A5 - Byte              20C3B6E5 : 211                20BFE2E5 : 211                
16A6 - 2 Bytes           20C3B6E6 : 18370              20BFE2E6 : 18370              
16A8 - Float             20C3B6E8 : 10000              20BFE2E8 : 10000              
16AC - Pointer           20C3B6EC : P->3DCCCCCD        20BFE2EC : P->3DCCCCCD        
16B0 - 4 Bytes           20C3B6F0 : 0                  20BFE2F0 : 0                  
16B4 - Float             20C3B6F4 : 70000              20BFE2F4 : 70000              
16B8 - Float             20C3B6F8 : 10000              20BFE2F8 : 10000              
16BC - Pointer           20C3B6FC : P->3DCCCCCD        20BFE2FC : P->3DCCCCCD        
16C0 - 4 Bytes           20C3B700 : 0                  20BFE300 : 0                  
16C4 - 4 Bytes           20C3B704 : 0                  20BFE304 : 0                  
16C8 - Pointer           20C3B708 : P->3EA1A36F        20BFE308 : P->3E9BE0DF        
16CC - Pointer           20C3B70C : P->3E666666        20BFE30C : P->3E666666        
16D0 - Float             20C3B710 : 25                 20BFE310 : 24                 
16D4 - Float             20C3B714 : 1                  20BFE314 : 1                  
16D8 - Double            20C3B718 : 0.0435937715577893 20BFE318 : 0.0403125060605817 
16E0 - Double            20C3B720 : 0.0250000096653639 20BFE320 : 0.0250000096649819 
16E8 - Float             20C3B728 : 6012               20BFE328 : 5510               
16EC - Float             20C3B72C : 16                 20BFE32C : 16                 
16F0 - Float             20C3B730 : 0.5                20BFE330 : 0.4499999881       
16F4 - Float             20C3B734 : 7.5                20BFE334 : 7.5                
16F8 - String            20C3B738 : DCH_EVO1           20BFE338 : FIA_COU            
1701 - Byte              20C3B741 : 211                20BFE341 : 211                
1702 - 2 Bytes           20C3B742 : 18370              20BFE342 : 18370              
1704 - Float             20C3B744 : 10000              20BFE344 : 10000              
1708 - Pointer           20C3B748 : P->3DCCCCCD        20BFE348 : P->3DCCCCCD        
170C - 4 Bytes           20C3B74C : 0                  20BFE34C : 0                  
1710 - Float             20C3B750 : 70000              20BFE350 : 70000              
1714 - Float             20C3B754 : 10000              20BFE354 : 10000              
1718 - Pointer           20C3B758 : P->3DCCCCCD        20BFE358 : P->3DCCCCCD        
171C - 4 Bytes           20C3B75C : 0                  20BFE35C : 0                  
1720 - 4 Bytes           20C3B760 : 0                  20BFE360 : 0                  
1724 - Pointer           20C3B764 : P->3EA1A36F        20BFE364 : P->3E9BE0DF        
1728 - Pointer           20C3B768 : P->3E666666        20BFE368 : P->3E666666        
172C - Float             20C3B76C : 25                 20BFE36C : 24                 
1730 - Float             20C3B770 : 1                  20BFE370 : 1                  
1734 - Double            20C3B774 : 0.0565874947118573 20BFE374 : 0.0531750095891766 
173C - Double            20C3B77C : 0.0250000096668766 20BFE37C : 0.0250000096664793 
1744 - Float             20C3B784 : 6012               20BFE384 : 5510               
1748 - Float             20C3B788 : 16                 20BFE388 : 16                 
174C - Float             20C3B78C : 0.5                20BFE38C : 0.4499999881       
1750 - Float             20C3B790 : 7.5                20BFE390 : 7.5                
1754 - String            20C3B794 : DCH_EVO1           20BFE394 : FIA_COU            
175D - Byte              20C3B79D : 211                20BFE39D : 211                
175E - 2 Bytes           20C3B79E : 18370              20BFE39E : 18370              
1760 - Float             20C3B7A0 : 10000              20BFE3A0 : 10000              
1764 - Pointer           20C3B7A4 : P->3DCCCCCD        20BFE3A4 : P->3DCCCCCD        
1768 - 4 Bytes           20C3B7A8 : 0                  20BFE3A8 : 0                  
176C - Float             20C3B7AC : 70000              20BFE3AC : 70000              
1770 - Float             20C3B7B0 : 10000              20BFE3B0 : 10000              
1774 - Pointer           20C3B7B4 : P->3DCCCCCD        20BFE3B4 : P->3DCCCCCD        
1778 - 4 Bytes           20C3B7B8 : 0                  20BFE3B8 : 0                  
177C - 4 Bytes           20C3B7BC : 0                  20BFE3BC : 0                  
1780 - Pointer           20C3B7C0 : P->3EA1A36F        20BFE3C0 : P->3E9BE0DF        
1784 - Pointer           20C3B7C4 : P->3E666666        20BFE3C4 : P->3E666666        
1788 - Float             20C3B7C8 : 25                 20BFE3C8 : 24                 
178C - Float             20C3B7CC : 1                  20BFE3CC : 1                  
1790 - Double            20C3B7D0 : 0.012230316127534  20BFE3D0 : 0.0115543771040393 
1798 - Double            20C3B7D8 : 0.0250000096587082 20BFE3D8 : 0.0250000096583934 
17A0 - Float             20C3B7E0 : 6012               20BFE3E0 : 5510               
17A4 - Float             20C3B7E4 : 16                 20BFE3E4 : 16                 
17A8 - Float             20C3B7E8 : 0.5                20BFE3E8 : 0.4499999881       
17AC - Float             20C3B7EC : 7.5                20BFE3EC : 7.5                
17B0 - String            20C3B7F0 : DCH_EVO1           20BFE3F0 : FIA_COU            
17B9 - Byte              20C3B7F9 : 211                20BFE3F9 : 211                
17BA - 2 Bytes           20C3B7FA : 18370              20BFE3FA : 18370              
17BC - Float             20C3B7FC : 10000              20BFE3FC : 10000              
17C0 - Pointer           20C3B800 : P->3DCCCCCD        20BFE400 : P->3DCCCCCD        
17C4 - 4 Bytes           20C3B804 : 0                  20BFE404 : 0                  
17C8 - Float             20C3B808 : 70000              20BFE408 : 70000              
17CC - Float             20C3B80C : 10000              20BFE40C : 10000              
17D0 - Pointer           20C3B810 : P->3DCCCCCD        20BFE410 : P->3DCCCCCD        
17D4 - 4 Bytes           20C3B814 : 0                  20BFE414 : 0                  
17D8 - 4 Bytes           20C3B818 : 0                  20BFE418 : 0                  
17DC - Pointer           20C3B81C : P->3EA1A36F        20BFE41C : P->3E9BE0DF        
17E0 - Pointer           20C3B820 : P->3E666666        20BFE420 : P->3E666666        
17E4 - Float             20C3B824 : 25                 20BFE424 : 24                 
17E8 - Float             20C3B828 : 1                  20BFE428 : 1                  
17EC - Double            20C3B82C : 0.0141793731105281 20BFE42C : 0.0134837496530963 
17F4 - Double            20C3B834 : 0.0250000096596158 20BFE434 : 0.0250000096592918 
17FC - Float             20C3B83C : 6012               20BFE43C : 5510               
1800 - Float             20C3B840 : 16                 20BFE440 : 16                 
1804 - Float             20C3B844 : 0.5                20BFE444 : 0.4499999881       
1808 - Float             20C3B848 : 7.5                20BFE448 : 7.5                
180C - String            20C3B84C : DCH_EVO1           20BFE44C : FIA_COU            
1815 - Byte              20C3B855 : 211                20BFE455 : 211                
1816 - 2 Bytes           20C3B856 : 18370              20BFE456 : 18370              
1818 - Float             20C3B858 : 10000              20BFE458 : 10000              
181C - Pointer           20C3B85C : P->3DCCCCCD        20BFE45C : P->3DCCCCCD        
1820 - 4 Bytes           20C3B860 : 0                  20BFE460 : 0                  
1824 - Float             20C3B864 : 70000              20BFE464 : 70000              
1828 - Float             20C3B868 : 10000              20BFE468 : 10000              
182C - Pointer           20C3B86C : P->3DCCCCCD        20BFE46C : P->3DCCCCCD        
1830 - 4 Bytes           20C3B870 : 0                  20BFE470 : 0                  
1834 - 4 Bytes           20C3B874 : 0                  20BFE474 : 0                  
1838 - Pointer           20C3B878 : P->3EA1A36F        20BFE478 : P->3E9BE0DF        
183C - Pointer           20C3B87C : P->3E666666        20BFE47C : P->3E666666        
1840 - Float             20C3B880 : 25                 20BFE480 : 24                 
1844 - Float             20C3B884 : 1                  20BFE484 : 1                  
1848 - Double            20C3B888 : 0.0166318750882056 20BFE488 : 0.0154131296527339 
1850 - Double            20C3B890 : 0.0250000096605234 20BFE490 : 0.0250000096601903 
1858 - Float             20C3B898 : 6012               20BFE498 : 5510               
185C - Float             20C3B89C : 16                 20BFE49C : 16                 
1860 - Float             20C3B8A0 : 0.5                20BFE4A0 : 0.4499999881       
1864 - Float             20C3B8A4 : 7.5                20BFE4A4 : 7.5                
1868 - String            20C3B8A8 : DCH_EVO1           20BFE4A8 : FIA_COU            
1871 - Byte              20C3B8B1 : 211                20BFE4B1 : 211                
1872 - 2 Bytes           20C3B8B2 : 18370              20BFE4B2 : 18370              
1874 - Float             20C3B8B4 : 10000              20BFE4B4 : 10000              
1878 - Pointer           20C3B8B8 : P->3DCCCCCD        20BFE4B8 : P->3DCCCCCD        
187C - 4 Bytes           20C3B8BC : 0                  20BFE4BC : 0                  
1880 - Float             20C3B8C0 : 70000              20BFE4C0 : 70000              
1884 - Float             20C3B8C4 : 10000              20BFE4C4 : 10000              
1888 - Pointer           20C3B8C8 : P->3DCCCCCD        20BFE4C8 : P->3DCCCCCD        
188C - 4 Bytes           20C3B8CC : 0                  20BFE4CC : 0                  
1890 - 4 Bytes           20C3B8D0 : 0                  20BFE4D0 : 0                  
1894 - Pointer           20C3B8D4 : P->3EA1A36F        20BFE4D4 : P->3E9BE0DF        
1898 - Pointer           20C3B8D8 : P->3E666666        20BFE4D8 : P->3E666666        
189C - Float             20C3B8DC : 25                 20BFE4DC : 24                 
18A0 - Float             20C3B8E0 : 1                  20BFE4E0 : 1                  
18A4 - Double            20C3B8E4 : 0.0205300039553549 20BFE4E4 : 0.0190600044035818 
18AC - Double            20C3B8EC : 0.025000009661431  20BFE4EC : 0.0250000096610887 
18B4 - Float             20C3B8F4 : 6012               20BFE4F4 : 5510               
18B8 - Float             20C3B8F8 : 16                 20BFE4F8 : 16                 
18BC - Float             20C3B8FC : 0.5                20BFE4FC : 0.4499999881       
18C0 - Float             20C3B900 : 7.5                20BFE500 : 7.5                
18C4 - String            20C3B904 : DCH_EVO1           20BFE504 : FIA_COU            
18CD - Byte              20C3B90D : 211                20BFE50D : 211                
18CE - 2 Bytes           20C3B90E : 18370              20BFE50E : 18370              
18D0 - Float             20C3B910 : 10000              20BFE510 : 10000              
18D4 - Pointer           20C3B914 : P->3DCCCCCD        20BFE514 : P->3DCCCCCD        
